video_id,desc,harmful,reasoning
7526089595210009878,"Ogni volta che andavo a fare benzina da lui, gli chiedevo sempre come stesse, lui mi ha sempre dato la stessa risposta: “VIVO”, ed io ci pensavo sempre che fondamentalmente è vero no? Alla fine siamo VIVI, qualsiasi cosa accada, abbiamo questo privilegio, non possiamo permettere a niente e nessuno di toglierci una cosa così importante e unica. GRAZIE BUBAH, per avermelo ricordato più volte, adesso non dimenticherò mai.",not harmful,"The description reflects on the value of life and gratitude, which is positive and motivational. There is no mention of harmful content as per the framework provided."
7525374920298188054,C’è chi balla e c’è chi mente 💃 #Nazionale #Azzurre #LeAzzurreSiamoNoi #WEURO2025 #raffaellacarrà,not harmful,"The description appears to be about dancing and supporting a national sports team, with no indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7524292924507426078,#tiktok #baby,not harmful,"The description ""#tiktok #baby"" does not indicate any harmful content based on the provided framework. It likely refers to content involving babies, which is generally safe for all audiences."
7525497634895711510,#neiperteee #viral #fyp 😂,not harmful,"The description contains hashtags and an emoji that suggest humor or entertainment, with no indication of harmful content as per the framework provided."
7523246058491907350,"Se hai le cosce che sfregano sempre tra di loro questo vestito è la salvezza! Puoi muoverti come vuoi, le cosce non ti danno fastidio, gli shorts non salgono nè stringono, non devi fare attenzione a dove e come ti siedi. Oltre a essere comunque femminile ed elegante. Ogni volta che dico che ha gli shorts sotto (con taschini) nessuno ci crede! E il vestito è scollegato dagli shorts dietro per poter andare in bagno senza doverlo sfilare. Questa è la chicca di cui vado più fiera #coscechesfregano #consigliodasorea #gambegonfie #outfit #outfitdelgiorno #outfitinspo",not harmful,The description discusses a clothing item designed to prevent discomfort from thighs rubbing together. It promotes body comfort and confidence without suggesting any harmful behavior or content.
7524415474935893270,New look in Zanzibar 😆 #fyp #zanzibar #zanzibartiktok #zanzibar🇹🇿 #zanzibarisland,not harmful,"The description appears to be about showcasing a new look or experience in Zanzibar, which does not fall under any of the harmful content categories listed."
7525378106174016824,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7524693906202660118,Coincidenza da film 🍿,not harmful,"The description ""Coincidenza da film"" translates to ""Movie-like coincidence"" and does not suggest any harmful content based on the provided framework. It appears to be a benign statement likely related to an interesting or unexpected event."
7526937258897739030,bell'idea......,not harmful,"The description ""bell'idea"" (which translates to ""good idea"" in English) does not contain any content that falls under the harmful categories listed in the framework. It is vague and does not suggest any harmful activity or theme."
7526210308453551382,"vai a correre dicevano, può solo farti che bene 😅",not harmful,"The description is about running and suggests it is beneficial, which does not fall under any harmful content categories."
7524775660254989590,Amore stasera ti porto a cena fuori🖤,not harmful,"The description simply states an intention to take someone out for dinner, which does not fall under any of the harmful content categories."
7525995841090276630,#parati #fyp #duo #fiesta el récord del todo el verano!!!🫡👑,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a celebratory or fun post about a summer event."
7525159743791402262,"Finalmente posso svelarvi, chi è questo “AMICO”(sul canale dei maturi)💗💌🤦🏼‍♀️",not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a personal or lighthearted message."
7525422467616378135,SUPER CALI FRA GI LI STI CHE SPI RA LIDIBOBBY,not harmful,The description appears to be a playful or nonsensical phrase and does not contain any content related to the harmful categories listed in the framework.
7526263941396483350,POV: Quando gareggi contro un bianco,harmful,"This description could imply racial stereotypes or promote racial competition, which falls under hate speech or behavior. It is important to prevent minors from being exposed to content that could perpetuate racial biases or discrimination."
7525382852557475094,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7524836677697817878,Da far paura. #perteeee#virale#tik_tok#viralvideotiktok#andiamoneiperte#videovirali#perte#foryour#andiamovirali#napoli,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a general description for a viral video."
7525771619768306966,Che bellina che è 🥹🥰💕#concertoultimo #ultimo #ultimostadi2025 @Ultimo @givemetartare,not harmful,"The description appears to be expressing admiration or affection for a concert or artist, with no indication of harmful content as per the framework provided."
7525881242726812950,Οι τελευταίες στιγμές του 35χρονου πριν τον «ρουφήξει» τουρμπίνα αεροπλάνου στο Μπέργκαμο. #protothema #greecetiktok #tiktokgreece,harmful,"The description refers to a shocking and graphic incident involving a person being sucked into an airplane turbine, which falls under the category of strong and frightening imagery. This type of content can be distressing and is not suitable for minors."
7525500481419021591,All of the essentials 💅🏼 #chanel #tennis #wimbledone (ps the bag is Chanel from the 23 cruise collection 🎾 I got it from @Sellier Knightsbridge),not harmful,"The description is about fashion and luxury items, specifically mentioning a Chanel bag and tennis, which does not fall under any of the harmful content categories listed."
7526281674116599062,😂 #perte #mamma #viral_video#commedia,not harmful,The description uses hashtags related to comedy and does not indicate any harmful content as per the framework provided. It seems to be a light-hearted or humorous video.
7526946789207903510,#chiarafacchetti @Chiara Facchetti,not harmful,The description only includes a username and does not contain any content that falls under the harmful content framework.
7525144376725589270,CIAOOO,not harmful,"The description ""CIAOOO"" is simply a greeting and does not contain any harmful content as per the provided framework."
7526246537375190278,#charevelacao 🩷💙,not harmful,"The description appears to reference a gender reveal event, which is typically a celebration and does not inherently contain harmful content as defined by the framework."
7526165377357761814,Questa cosa del Skibidiboppi ci sta sfuggendo di mano u 😅 #skibidiboppi #forzanapoli,not harmful,"The description appears to reference a trend or meme (""Skibidiboppi"") and a sports team (""forzanapoli""), which do not fall under any of the harmful content categories listed."
7526202804948536598,Hahahahaha i love this trend #fyp,not harmful,The description is vague and does not reference any specific content that falls under the harmful content framework. It appears to be a general expression of enjoyment for a trend.
7526917913836571926,"7513888764238875926 7527362826055208214 7526595912664239382 7526906757705157910 7514433175075015958 7526910684752268566 7517674448158264598 7526780535591423254 vicenda frankie “ti manca?” quel sorrisetto dice tutto❤️‍🩹🥹 @giuliaabizzarri  @Fabio Ferrucci #giuliabizzarri #fabioferrucci #perte #fabioegiulia ORA SAPETE TUTTA LA VERITÀ. MA CHI C’È DIETRO TUTTO QUESTO? ✉️ @Viola Silvi @Cristiano🌓 che significa? ovviamente vi darò aggiornamenti su tutto 🥺💕 ANNA è tornata ad incendiare questa estate e noi l'aspettavamo con ansia! ❤️‍🔥 DESOLÉE fuori questo venerdì un'ora dopo la mezzanotte 🫦 @ANNA #Désolée #TimSummerHits mi sono intrufolato nella villa del Breakfast Club, e ora voglio diventare un nuovo membro. Ci riuscirò? 🤣💕 @Fabio Ferrucci @Cristiano🌓 bello vederti felice.. o forse no 😭 @lollo #lollolacustre",not harmful,"The descriptions provided do not contain any references to harmful content as defined by the framework. They appear to be related to personal updates, music releases, and light-hearted challenges, which are not harmful to minors."
7526943912662027542,"con tutto il rispetto per Brad Pitt e, ma qua siamo in forma smaliante, con grandi risultati e in piene forze😏",not harmful,The description appears to be a light-hearted comment about being in great shape and does not contain any harmful content as per the specified framework.
7526670715777551638,A’chiena #capagna #chiena #achiena #acqua #neiperte #achiena,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be related to a cultural or local event involving water, which is not inherently harmful."
7526135440949218582,4 giorni di questa mini polpetta sono così innamorata,not harmful,"The description appears to be expressing affection or love, likely towards a pet or a small child, and does not contain any content that falls under the harmful content framework."
7525502735421164822,Ah,not harmful,"The description ""Ah"" is vague and does not contain any content that falls under the harmful content framework categories."
