video_id,link,desc,harmful,reasoning
7497238138729876767,https://www.tiktok.com/@temp/video/7497238138729876767,#restrictivediet #restrictivedietsdontwork #restrictive #restrictivediets #lowcalorie #lowcal #lowcalorierecipes #lowcaloriefood #edawareness #edawarewness #edrec0very #edrecovry #edrecoverybff #balancedeating #balancedmeals #balancedlifestyle #fitlexcoaching,harmful,"The video description includes hashtags related to restrictive diets and low-calorie foods, which can promote disordered eating behaviors and negatively impact body image, especially among minors."
7504627642956582166,https://www.tiktok.com/@temp/video/7504627642956582166,"Mi raccomando, non protraete queste diete così restrittive per troppo tempo e soprattutto fatevi sempre seguire da persone competenti!!🫶🏼 #fyp #foryou #perte #whatieatinaday #cosamangioinungiorno #diet #dieta #dietaketo #chetogenica",not harmful,"The video description advises against prolonged restrictive dieting and encourages seeking guidance from competent individuals, which promotes healthy eating habits and does not fall under disordered eating or any other harmful content category."
7527691460171418902,https://www.tiktok.com/@temp/video/7527691460171418902,"La verità sulle diete 💔 Secondo la ricerca scientifica, le diete restrittive possono avere effetti negativi sulla salute mentale e fisica, aumentando il rischio di disturbi alimentari, ansia e depressione. 🤯 Uno studio pubblicato sulla rivista “Journal of the Academy of Nutrition and Dietetics” ha scoperto che le diete restrittive possono portare a una riduzione della massa muscolare e a un aumento della massa grassa. 📊 Inoltre, la National Eating Disorders Association (NEDA) stima che il 70% delle ragazze adolescenti hanno già provato a seguire una dieta restrittiva, aumentando il rischio di sviluppare disturbi alimentari. 🚨 È ora di cambiare il nostro approccio all’alimentazione e di insegnare alle nostre figlie a mangiare in modo sano e equilibrato, senza restrizioni o sensi di colpa. 🥗 Vuoi scoprire come fare? Commenta con “Sana Alimentazione” e ti invierò il link per scoprire come accedere al nostro programma Strong 2.0 e ottenere la guida GRATIS! 👇 Fonti: - “Journal of the Academy of Nutrition and Dietetics” (2019) - National Eating Disorders Association (NEDA) - Organizzazione Mondiale della Sanità (OMS) • Segui @vitadamamma3.0 Disclaimer:Incaricata indipendente Dna solutions #sanaalimentazione #mangiarebene #vivimeglio #donneempowered #mammeconsapevoli #salutementale #figli #benessere #andiamoneiperteee #mammeditiktok",not harmful,"The video description discusses the negative effects of restrictive diets and promotes healthy, balanced eating without restrictions or guilt. It aims to raise awareness about disordered eating and body image issues, but it does so in a way that encourages positive behavior change and provides resources for healthier habits. It does not promote harmful behavior or content."
7514299779073969431,https://www.tiktok.com/@temp/video/7514299779073969431,"Ma quali sono le conseguenze di una dieta restrittiva? 🚫Esatto, la dieta, soprattutto se drastica ha degli effetti collaterali da non trascurare 👤Effetti sul corpo e sulla mente: 📍rallentamento metabolico, il corpo entra in modalità “risparmio energetico” e brucia meno kcal 📍perdita di massa muscolare: è un fattore da non trascurare, proprio perché perdendo muscolo si va ulteriormente a rallentare il metabolismo Infatri spesso quando si finisce la dieta si riprendono in fretta i kg persi con gli interessi 📍maggiore desiderio di carboidrati, dolce e salato: proprio perché sono la fonte privilegiata di energia per il corpo 📍pensiero costante rivolto al cibo, in particolare ai cibi di cui ci stiamo privando 📍maggiore rischio di abbuffate e perdita di controllo 📍incapacità di percepire i nostri segnali, in particolare la sazietà 📍senso di colpa, fallimento, frustrazione 👤🍒🍝Se non rispettiamo un bisogno primario come quello di nutrirci, il nostro corpo metterà in atto dei meccanismi di difesa, sia a livello fisico che psicologico! ⛓️‍💥Non c’entra la forza di volontà, sono meccanismi bene conosciuti, automatici che si ripetono ogni qualvolta che proviamo a chiudere l’alimentazione dentro regole rigide Un’alternativa gentile c’è! Non farti ingannare dall’ennesima dieta♥️🌸 #intuitiveeating #culturadelladieta #nutrizione #dimagrire #bilancia #peso #salute #kcal #giudizio #fameemotiva #mindfuleating #dietarestrittiva #dieta #nutrizionista #abbuffate",not harmful,"The video description discusses the negative consequences of restrictive dieting and promotes a healthier approach to eating, which aligns with promoting positive body image and mental health. It does not encourage disordered eating or harmful behaviors."
7448782139711245614,https://www.tiktok.com/@temp/video/7448782139711245614,"If you’re cutting too much out of your diet, your skin will likely tell you about it 👀 #skinhealth #skinfood #skindiet #restrictivediet #skinlongevity #healthyskin #skincare #foodforskin #antiagingtips #acnehelp #acneproneskin #antiaging #glowingskin",harmful,"The description promotes the idea of cutting out significant portions of one's diet, which can encourage restrictive eating behaviors and contribute to disordered eating patterns. This type of content can be harmful, especially to impressionable audiences such as minors."
7511436258522975519,https://www.tiktok.com/@temp/video/7511436258522975519,"Replying to @appleuser693728524 hope this clears that up! Restriction is not a long term plan because it isn’t sustainable or even helpful for long term gastritis healing (in fact, it’s harmful). Nourish your body with foods to heal it. #guthealth #gutmicrobiome #naturopathicmedicine #gastritis #gerd #sibo #leakygut #acidreflux #heartburn #healthy #intuitiveeating",not harmful,"The video description promotes nourishing the body with food and intuitive eating, which does not fall under any of the harmful content categories. It encourages a healthy approach to dealing with gastritis and related issues."
7486820691057052950,https://www.tiktok.com/@temp/video/7486820691057052950,"Sai cosa accade se segui diete eccessivamente ipocaloriche, privative e restrittive? Il FALLIMENTO!!!! Con annessa tristezza, sconforto, avvilimento, nervosismo e chi più ne ha più ne metta! Ne vale la pena?!? Mangiare poco, seguire diete restrittive, fare rinunce, privarsi di situazioni, ecc … NON È LA SCELTA GIUSTA! Il cibo è piacere e deve far parte della nostra vita serenamente! Imparare a mangiare ed a soddisfare le proprie necessità, è l’unico modo per far stare bene il nostro corpo e la nostra mente 🫶🏻 #dietarestrittiva #mangiaresenzarinunce #correttaalimentazione #imparareamangiare #nutrizionista",not harmful,"This description promotes a healthy relationship with food and discourages disordered eating and restrictive diets, which aligns with promoting positive body image and mental well-being."
7461408656320449798,https://www.tiktok.com/@temp/video/7461408656320449798,💊#parati #tiktok #kpop #almentdras #food#idols,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, dangerous activities, or substance abuse. It appears to be related to general topics like food and K-pop."
7181779872665160987,https://www.tiktok.com/@temp/video/7181779872665160987,women with pcos🎀🎀🎀❤️,not harmful,"The description does not indicate any content related to the harmful categories listed, such as disordered eating, self-harm, or any other harmful behavior. It appears to be a supportive or informative mention of a medical condition (PCOS - Polycystic Ovary Syndrome)."
7123129590582742278,https://www.tiktok.com/@temp/video/7123129590582742278,L’altro social: giada_gabbrielli_ #alimentazionesana #fiocchettolilla #allenamento #palestra #gymtokitalia #dietarestrittiva #abbuffate #dimagriremangiando #mangiaresano,harmful,"The description includes hashtags like #dietarestrittiva (restrictive diet) and #abbuffate (binges), which can promote unhealthy eating behaviors and body image issues."
7480999692629740822,https://www.tiktok.com/@temp/video/7480999692629740822,"#perderepeso #gonfioriaddominali #chiliditroppo #gonfiore #metabolismolento #metabolismo #dimagrire #dimagriremangiando #panciapiatta #dimagrireveloce #metabolismoattivo #rinascita Disclaimer Il Sistema Body Balance ti aiuta ad assumere meno calorie di quelle che bruci attraverso un'alimentazione ipocalorica, scelte alimentari più sane e una maggiore attività fisica. Potresti arrivare a perdere fino a 4-8 kg in un mese, a seconda di atto da diversi fattori I risultati sono basati su uno studio di 28 giorni e possono variare a seconda di come si segue il Sistema Body Balance, che include dieta e esercizio fisico.",harmful,"The description promotes rapid weight loss and focuses on achieving a ""flat stomach"" and ""quick weight loss,"" which can encourage unhealthy body image and disordered eating behaviors, especially among impressionable minors."
7497990994101652758,https://www.tiktok.com/@temp/video/7497990994101652758,"Disclaimer: Il Sistema Body Balance ti aiuta ad assumere meno calorie di quelle che bruci attraverso un'alimentazione ipocalorica, scelte alimentari più sane e una maggiore attività fisica. Potresti arrivare a perdere fino a 5-7 kg in un mese, a seconda di diversi fattori I risultati sono basati su uno studio di 28 giorni e possono variare a seconda di come si segue il Sistema Body Balance.#kiliditroppo #volersibene #alimentazionesana #tornareinforma #perderepesomangiando #dimagriredopoi50 #volersibene",not harmful,"The description promotes healthier eating and increased physical activity for weight loss, which does not fall under disordered eating or body image issues as it emphasizes balanced nutrition and exercise rather than extreme or unhealthy methods."
7505522350360775958,https://www.tiktok.com/@temp/video/7505522350360775958,"Dimagrire fino a 8 Kg in 28 giorni⁉️ Si è possibile, io ho perso 25 kg‼️ Sono passata da 98 kg a 73 kg in 3 mesi❣️ Commenta OK, correrò da te a darti tutte le info senza impegno❤️ Disclaimer*: I risultati sono e legati alla mia esperienza. Uno studio sui consumatori ha dimostrato che coloro che hanno seguito il Sistema Body Balance hanno perso trai 4 e gli 8 kg in 28 giorni. I risultati possono variare a seconda dell'aderenza al programma, che include dieta ed esercizio fisico. #perderepeso #dimagriremangiando #cambiamento #primaedopo #tornareinforma #promosale #panciapiatta",harmful,"This video description promotes rapid weight loss, which can be associated with disordered eating and body image issues. It suggests losing a significant amount of weight in a short period, which may encourage unhealthy dieting practices and unrealistic body standards, potentially harmful to minors."
