video_id,desc,harmful,reasoning
7526089595210009878,"Ogni volta che andavo a fare benzina da lui, gli chiedevo sempre come stesse, lui mi ha sempre dato la stessa risposta: “VIVO”, ed io ci pensavo sempre che fondamentalmente è vero no? Alla fine siamo VIVI, qualsiasi cosa accada, abbiamo questo privilegio, non possiamo permettere a niente e nessuno di toglierci una cosa così importante e unica. GRAZIE BUBAH, per avermelo ricordato più volte, adesso non dimenticherò mai.",not harmful,"The description reflects on the value of life and gratitude, which is a positive and uplifting message. There is no content related to the harmful categories outlined in the framework."
7525374920298188054,C’è chi balla e c’è chi mente 💃 #Nazionale #Azzurre #LeAzzurreSiamoNoi #WEURO2025 #raffaellacarrà,not harmful,"The description appears to be about dancing and supporting a national sports team, with no indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7524292924507426078,#tiktok #baby,not harmful,"The description ""#tiktok #baby"" does not indicate any harmful content related to the provided framework. It likely refers to content involving babies, which is generally safe for all audiences."
7525497634895711510,#neiperteee #viral #fyp 😂,not harmful,"The description contains hashtags and an emoji that suggest the video is intended to be humorous or entertaining, with no indication of harmful content as per the framework provided."
7524693906202660118,Coincidenza da film 🍿,not harmful,"The description ""Coincidenza da film"" translates to ""Movie-like coincidence"" and does not suggest any harmful content based on the provided framework. It appears to be a benign statement likely related to an interesting or unexpected event."
7523246058491907350,"Se hai le cosce che sfregano sempre tra di loro questo vestito è la salvezza! Puoi muoverti come vuoi, le cosce non ti danno fastidio, gli shorts non salgono nè stringono, non devi fare attenzione a dove e come ti siedi. Oltre a essere comunque femminile ed elegante. Ogni volta che dico che ha gli shorts sotto (con taschini) nessuno ci crede! E il vestito è scollegato dagli shorts dietro per poter andare in bagno senza doverlo sfilare. Questa è la chicca di cui vado più fiera #coscechesfregano #consigliodasorea #gambegonfie #outfit #outfitdelgiorno #outfitinspo",not harmful,"The description promotes a clothing item designed for comfort and practicality, particularly for those who experience chafing. It does not contain any harmful content related to the specified categories."
7524415474935893270,New look in Zanzibar 😆 #fyp #zanzibar #zanzibartiktok #zanzibar🇹🇿 #zanzibarisland,not harmful,"The description appears to be about showcasing a new look or style in Zanzibar, which does not fall under any of the harmful content categories listed."
7522514239014112534,offerto da Tognana* La prima di tante scoperte con questa friggitrice ad aria🫶🏼 (Tra l’altro comodissima perché ha anche il display touch e la luce interna per vedere come procede la cottura dei cibi🥹) @Tognana #tognana #friggitriceadaria #ricetteveloci,not harmful,"The description promotes a kitchen appliance (an air fryer) and highlights its features, which is not related to any harmful content categories."
7524775660254989590,Amore stasera ti porto a cena fuori🖤,not harmful,"The description simply suggests taking someone out for dinner, which does not fall under any of the harmful content categories listed."
7525378106174016824,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7526210308453551382,"vai a correre dicevano, può solo farti che bene 😅",not harmful,"The description is a light-hearted comment about running, which does not fall under any of the harmful content categories such as disordered eating, self-harm, or dangerous activities. It appears to be a humorous take on exercise, which is generally considered a positive activity."
7525159743791402262,"Finalmente posso svelarvi, chi è questo “AMICO”(sul canale dei maturi)💗💌🤦🏼‍♀️",not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a teaser or announcement about revealing a friend, which is not harmful."
7525995841090276630,#parati #fyp #duo #fiesta el récord del todo el verano!!!🫡👑,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a celebratory or fun post about a summer event."
7525422467616378135,SUPER CALI FRA GI LI STI CHE SPI RA LIDIBOBBY,not harmful,The description appears to be a playful or nonsensical phrase and does not contain any content related to the harmful categories listed in the framework.
7524836677697817878,Da far paura. #perteeee#virale#tik_tok#viralvideotiktok#andiamoneiperte#videovirali#perte#foryour#andiamovirali#napoli,not harmful,"The description does not contain any explicit references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a general call for virality without specific context."
7525382852557475094,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Could you please provide the description you would like me to evaluate?"
7525881242726812950,Οι τελευταίες στιγμές του 35χρονου πριν τον «ρουφήξει» τουρμπίνα αεροπλάνου στο Μπέργκαμο. #protothema #greecetiktok #tiktokgreece,harmful,"The description refers to a shocking and graphic event involving a fatal accident, which falls under the category of ""Shocking and Graphic Content: Extreme physical fighting + gore, Strong and frightening imagery."" This type of content can be distressing and is not suitable for minors."
7524681313882836246,"quando dico che la mia vita è un film non scherzo, sicuramente ho sempre qualcosa da raccontare 🙂🙂🙂🙂",not harmful,"The description is vague and does not contain any explicit references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a lighthearted statement about having interesting life experiences."
7525500481419021591,All of the essentials 💅🏼 #chanel #tennis #wimbledone (ps the bag is Chanel from the 23 cruise collection 🎾 I got it from @Sellier Knightsbridge),not harmful,"The description is about fashion and luxury items, specifically mentioning a Chanel bag and tennis, which does not fall under any of the harmful content categories listed."
7525771619768306966,Che bellina che è 🥹🥰💕#concertoultimo #ultimo #ultimostadi2025 @Ultimo @givemetartare,not harmful,"The description appears to be expressing admiration or excitement about a concert or artist, with no reference to any harmful content as defined by the framework."
7526263941396483350,POV: Quando gareggi contro un bianco,harmful,"This description could imply racial stereotypes or promote racial competition, which can be considered a form of hate speech or behavior. It is important to prevent minors from being exposed to content that may encourage racial discrimination or bias."
7525144376725589270,CIAOOO,not harmful,"The description ""CIAOOO"" is simply a greeting and does not contain any content that falls under the harmful content framework."
7526281674116599062,😂 #perte #mamma #viral_video#commedia,not harmful,The description uses hashtags related to comedy and does not indicate any harmful content according to the provided framework. It appears to be a lighthearted or humorous video.
7524759459491581206,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7524124293039426871,"Yes, this was filmed in silence…@Journey #bob #flight #duo #dreadhead #flying #public #yolo #delta #airlines #funny #fyp #fypシ #viral #viralvideo #trending #girls #foryoupage #foryou @Ava Sue’s backup",not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a lighthearted or humorous video related to flying."
