video_id,desc,harmful,reasoning
7526089595210009878,"Ogni volta che andavo a fare benzina da lui, gli chiedevo sempre come stesse, lui mi ha sempre dato la stessa risposta: “VIVO”, ed io ci pensavo sempre che fondamentalmente è vero no? Alla fine siamo VIVI, qualsiasi cosa accada, abbiamo questo privilegio, non possiamo permettere a niente e nessuno di toglierci una cosa così importante e unica. GRAZIE BUBAH, per avermelo ricordato più volte, adesso non dimenticherò mai.",not harmful,"The description reflects on the value of life and gratitude, which is positive and uplifting. It does not contain any harmful content as per the framework provided."
7525374920298188054,C’è chi balla e c’è chi mente 💃 #Nazionale #Azzurre #LeAzzurreSiamoNoi #WEURO2025 #raffaellacarrà,not harmful,"The description appears to be about dancing and supporting a national sports team, with no indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7524044898320928022,Si stava per rompere le costole @YNOT #perteeee #virale #summer,harmful,"The description suggests a potentially dangerous activity where someone was close to breaking their ribs, which falls under the category of Dangerous Activity and Challenges. This type of content can be harmful, especially to minors, as it may encourage them to engage in similar risky behavior."
7524292924507426078,#tiktok #baby,not harmful,"The description ""#tiktok #baby"" does not indicate any harmful content related to the specified categories. It likely refers to content involving babies, which is generally safe for all audiences."
7520995287171665154,"7495867041937771798 7524154091346431245 7506232321167641878 7525057735520554242 7523701561827101974 7524700467260149014 7524425914931858710 7524836950981741831 7525005325963971862 7523501381966122295 F1 Movie//Lose My Mind - Don Toliver, Doja Cat Is this up there as one of the best racing films? #mercedes #cinema #movie #edit #f1 #f1edit #f1movie #bradpitt #damsonidris #mclaren #redbull #ferrari #apxgp @Formula 1 @F1 Movie Vittooooo#kingsleague #3🌙 #etiopia #trm @TRM Kings League @Circus FC @TheRealMarzaa @v1tto_gk Ja edit whoever made this audio bro ts is tuff✌🏽#ja#jamorant#jamorantedit#nba#nbaedit#alliwantedwasyou #alliwantedwasyouedit#fyp#foryou#viral#xyzbca #wyze # 🔥 #juventus #allegri #championsleague #ucl #perte #foruyou #forzajuve #edit 🇮🇹🤝🏽🇧🇷 Valid.. #ekitike #manutd #footballtiktok CIMITERO ARSENIO LUPIN DELLA LEGNA 🥷🪵 #legna #lupin #cimitero #neiperte #perte #foryou #viral #ziocimi #ciaimy People love to criticize goalkeepers, yet most have no idea how incredibly tough the position truly is #foryou #goalkeeper #football #richardrios #manukone #asroma #perte Pero no puedo #lyrics4u448 #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #fyp #fyp #xybca #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii🦋 #songs #viral #lyrics #audios #canciones #makeviral #badbunny #badbunnyfans #nopuedo",not harmful,"The video descriptions provided do not contain any content that falls under the harmful content framework categories. They appear to be related to sports, movies, and music, which are generally safe for all audiences."
7524693906202660118,Coincidenza da film 🍿,not harmful,"The description ""Coincidenza da film"" translates to ""Movie-like coincidence"" and does not suggest any harmful content based on the provided framework. It appears to be a benign statement likely related to an interesting or unexpected event."
7523246058491907350,"Se hai le cosce che sfregano sempre tra di loro questo vestito è la salvezza! Puoi muoverti come vuoi, le cosce non ti danno fastidio, gli shorts non salgono nè stringono, non devi fare attenzione a dove e come ti siedi. Oltre a essere comunque femminile ed elegante. Ogni volta che dico che ha gli shorts sotto (con taschini) nessuno ci crede! E il vestito è scollegato dagli shorts dietro per poter andare in bagno senza doverlo sfilare. Questa è la chicca di cui vado più fiera #coscechesfregano #consigliodasorea #gambegonfie #outfit #outfitdelgiorno #outfitinspo",not harmful,"The description promotes a clothing item that provides comfort and practicality, especially for those who experience chafing. It does not contain any harmful content related to the specified categories."
7524415474935893270,New look in Zanzibar 😆 #fyp #zanzibar #zanzibartiktok #zanzibar🇹🇿 #zanzibarisland,not harmful,"The description appears to be about showcasing a new look or style in Zanzibar, which does not fall under any of the harmful content categories listed."
7522514239014112534,offerto da Tognana* La prima di tante scoperte con questa friggitrice ad aria🫶🏼 (Tra l’altro comodissima perché ha anche il display touch e la luce interna per vedere come procede la cottura dei cibi🥹) @Tognana #tognana #friggitriceadaria #ricetteveloci,not harmful,"The description is promoting a kitchen appliance (an air fryer) and does not contain any content related to the harmful categories listed, such as disordered eating, mature themes, or misinformation."
@Alessia #truestory ,,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7524124293039426871,"Yes, this was filmed in silence…@Journey #bob #flight #duo #dreadhead #flying #public #yolo #delta #airlines #funny #fyp #fypシ #viral #viralvideo #trending #girls #foryoupage #foryou @Ava Sue’s backup",not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a lighthearted or humorous video related to flying and public experiences."
7525422467616378135,SUPER CALI FRA GI LI STI CHE SPI RA LIDIBOBBY,not harmful,The description appears to be a playful or nonsensical phrase and does not contain any content related to the harmful categories listed in the framework.
7525500481419021591,All of the essentials 💅🏼 #chanel #tennis #wimbledone (ps the bag is Chanel from the 23 cruise collection 🎾 I got it from @Sellier Knightsbridge),not harmful,"The description is about fashion and luxury items, specifically mentioning a Chanel bag and tennis, which does not fall under any of the harmful content categories listed."
7524350409587084566,#partoriscenotteprimadellenozzedellasorella #sorelleinospedale #matrimonio,not harmful,The description appears to be about a personal or family event related to a wedding and does not contain any references to harmful content as defined by the framework.
7524681313882836246,"quando dico che la mia vita è un film non scherzo, sicuramente ho sempre qualcosa da raccontare 🙂🙂🙂🙂",not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a lighthearted statement about having interesting life experiences."
7525881242726812950,Οι τελευταίες στιγμές του 35χρονου πριν τον «ρουφήξει» τουρμπίνα αεροπλάνου στο Μπέργκαμο. #protothema #greecetiktok #tiktokgreece,harmful,"The description refers to a shocking and graphic incident involving a fatal accident, which falls under the category of ""Shocking and Graphic Content: Extreme physical fighting + gore, Strong and frightening imagery."" This type of content can be distressing and is not suitable for minors."
7522871370028420374,fit check with @guessjeans 🌟 #GUESSJEANSpartner,not harmful,"The description is promoting a fashion brand and does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7525995841090276630,#parati #fyp #duo #fiesta el récord del todo el verano!!!🫡👑,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a celebratory or fun post about a summer event."
