video_id,harmful,reasoning
7526089595210009878,not harmful,"The description reflects on the value of life and gratitude, without any reference to harmful content or themes."
7525374920298188054,not harmful,"The description appears to be about dancing and supporting a national sports team, with no indication of harmful content under the specified framework."
7524044898320928022,harmful,"The description suggests a dangerous activity or challenge that could lead to physical harm, which falls under the category of Mental and Behavioural Health: Dangerous Activity and Challenges."
7524292924507426078,not harmful,"The description simply includes a hashtag related to babies, which does not inherently contain any harmful content as per the provided framework."
7523283793063496982,not harmful,"The descriptions provided do not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. They appear to be related to music, sports, and comedy, which are generally safe for all audiences."
7524693906202660118,not harmful,"The description ""Coincidenza da film"" translates to ""Movie-like coincidence"" and does not contain any harmful content as per the provided framework. It appears to be a light-hearted or neutral statement."
7523246058491907350,not harmful,The description promotes a clothing item that addresses a common body comfort issue without promoting disordered eating or negative body image. It does not contain any harmful content as per the framework.
7524415474935893270,not harmful,"The description appears to be about a new look or style in Zanzibar and includes hashtags related to the location. There is no indication of harmful content such as disordered eating, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7522514239014112534,not harmful,"This description is about a kitchen appliance (an air fryer) and its features, which is not harmful content."
7524020494203538710,not harmful,"The description ""@Alessia #truestory"" does not contain any harmful content as per the provided framework. It appears to be a simple mention of a user and a hashtag, likely indicating a personal story or anecdote."
7524036667099925782,unclear,"I'm sorry, but I need a video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7524775660254989590,not harmful,"The description translates to ""Love, tonight I'm taking you out to dinner,"" which is a benign statement without any harmful content."
7525378106174016824,unclear,"I'm sorry, but I need a video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7522886759479250198,unclear,"I'm sorry, but I need a video description to classify it as 'harmful' or 'not harmful'. Could you please provide the description?"
7524312585190018327,not harmful,"The description is in Italian and translates to ""it made me laugh."" It does not contain any harmful content as per the provided framework."
7525159743791402262,not harmful,"The description does not contain any harmful content as per the provided framework. It appears to be a teaser or reveal about a friend, which does not fall under any of the harmful categories."
7522507818218360086,not harmful,The description simply mentions being a tall girl and includes hashtags that are commonly used for discoverability on TikTok. There is no indication of harmful content related to the specified categories.
7525144376725589270,not harmful,"The description ""CIAOOO"" is simply a greeting and does not contain any harmful content as per the specified framework."
7524759459491581206,not harmful,No description was provided to evaluate for harmful content.
7524290275536063766,not harmful,"The description appears to be promoting a product related to convenience or comfort, likely a smaller or more portable alternative to a large mattress. There is no indication of harmful content or themes that would be inappropriate for minors."
7524339237777378582,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as 'harmful' or 'not harmful'. Please provide the description so I can assist you further."
7518163865981537558,not harmful,"The video descriptions provided do not contain any harmful content as per the specified framework. They focus on motivational themes, personal experiences, and social interactions without any reference to disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7525055974248598806,not harmful,"The description is light-hearted and humorous, discussing forgetfulness about one's birthday. It does not contain any harmful content as per the framework provided."
7519144265591819542,not harmful,No description was provided to evaluate for harmful content.
7525871918826753302,not harmful,"The description expresses confusion about hate but does not promote or depict any harmful content. It includes hashtags related to flowers and gifts, which are not harmful."
7524814942776872223,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7523995241167310102,not harmful,The description contains only hashtags and does not reference any harmful content or themes.
7523858136168467743,not harmful,"The description is related to fossil hunting and rockhounding, which are educational and recreational activities. There is no indication of harmful content under the specified framework."
7519917205090323734,unclear,"I'm sorry, but I need a specific video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7523949894432804118,not harmful,"The description ""No caption needed"" does not contain any harmful content or suggest any themes that fall under the harmful content framework. It is neutral and does not provide any context that could be considered harmful."
7523951773279653142,not harmful,The description is vague and does not contain any explicit references to harmful content or themes outlined in the harmful content framework.
7525802740962823446,not harmful,"The description consists of hashtags related to motorcycles and motorsports, which do not fall under any of the harmful content categories listed."
7524367234261634326,not harmful,"The description ""Twennyfreee #fyp"" does not contain any harmful content related to the specified categories such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a playful or nonspecific phrase likely intended to engage with the ""For You Page"" (fyp) on TikTok."
7526231835630636310,not harmful,"The description does not contain any harmful content as per the framework. It simply describes a yacht battling natural elements, which is not inherently dangerous or harmful."
7525193240166010135,unclear,"I'm sorry, but I need a video description to classify it as 'harmful' or 'not harmful'. Please provide the description you would like me to evaluate."
7524770156736744710,not harmful,No video description was provided to evaluate for harmful content.
7522897982220537110,not harmful,"The description does not contain any explicit references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a vague or humorous statement without harmful implications."
7525186909996322070,not harmful,The description appears to be promoting a holiday with a travel company and does not contain any harmful content as per the specified framework.
7523703095222848790,not harmful,There is no description provided to evaluate for harmful content.
7525489717232684310,not harmful,"The description does not contain any harmful content as per the provided framework. It appears to be a supportive or memorial message, possibly related to a person or event, and includes hashtags related to Malta."
7526185892407495958,not harmful,The description discusses a marriage event and does not contain any harmful content related to the specified categories.
7526494678363950369,not harmful,The description provides information about the safe recovery of a missing child and does not contain any harmful content as per the specified framework.
7525861442889846038,not harmful,"The description appears to be a positive or motivational statement, possibly promoting a social media account, and does not contain any harmful content as per the specified framework."
7524690589091138838,not harmful,"The description ""IDK"" is vague and does not contain any explicit or implicit references to harmful content as outlined in the harmful content framework."
7524507819203153157,not harmful,"The description ""#foryou"" is a common tag used on TikTok to increase the visibility of a video and does not contain any harmful content as per the provided framework."
7525146815579049238,not harmful,"The description ""Canale I Maturi!"" does not contain any harmful content as per the provided framework. It does not reference any mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7525573634211990817,harmful,"The description contains strong and frightening imagery, such as possession, levitation, and violent actions by a demon, which can be considered shocking and graphic content. This type of content may not be suitable for minors."
7526220244042534166,not harmful,"The description is in Italian and translates to ""Please remove them."" It does not contain any harmful content based on the provided framework."
7524377658268863766,not harmful,"The description appears to be lighthearted and humorous, using hashtags related to jokes, memes, and a concert. There is no indication of harmful content or themes that would be inappropriate for minors."
7524293123791523094,not harmful,"The description ""Troppo skillato 😂"" translates to ""Too skilled 😂"" in English and does not contain any harmful content as per the provided framework. It appears to be a lighthearted or humorous comment."
7526274089372093718,not harmful,"The description refers to a wedding and mentions LEGO, which is a toy brand. There is no indication of harmful content or themes that would be inappropriate for minors."
7524377283117763862,not harmful,"The description contains hashtags related to humor, family, and cultural references without any indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7525679427515108630,not harmful,No video description was provided to evaluate for harmful content.
7521701259653434646,not harmful,"The description is in Italian and translates to ""I didn't understand the game."" It does not contain any harmful content as per the provided framework."
7526101249452674326,not harmful,"The description ""L’Amore 🧡"" simply translates to ""Love"" with a heart emoji, which does not indicate any harmful content or themes."
7525945563888520470,not harmful,"The description consists of hashtags related to a dog breed (Malinois) and general terms like ""playa"" and ""life,"" which do not indicate any harmful content."
7522543187890588950,not harmful,"The description appears to be a playful or humorous take on acquiring a storage unit, possibly related to luxury items, without any indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7526112688666135830,not harmful,"The description does not contain any references to harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation. It appears to be a general or humorous statement likely related to a family or personal situation."
7524046080091213078,not harmful,"The description simply mentions ""Italian boys"" with some hashtags and does not contain any harmful content as per the provided framework."
7498966889461320982,not harmful,"The descriptions primarily focus on themes of self-awareness, respect, communication, and healthy relationships. While there is a mention of intimacy and a website link, it does not explicitly contain sexually suggestive content or other harmful themes outlined in the framework. The content encourages open dialogue and personal boundaries, which is not harmful to minors."
7524315530224733463,not harmful,"The description suggests content related to life hacks, which are typically tips or tricks to make life easier. There is no indication of harmful content under the specified categories."
7524098307321302294,not harmful,"The description ""Comodo #perte"" does not contain any harmful content as per the provided framework. It appears to be a benign or neutral statement, possibly related to a brand or personal content, without any indication of mature themes, shocking content, or other harmful elements."
7524661865750793494,harmful,The description contains shocking and graphic content related to a fatal accident involving a person being sucked into an airplane engine. This type of content can be distressing and is not suitable for minors.
7523933216638651670,not harmful,"The description consists only of a laughing emoji, which does not indicate any harmful content or themes."
7524020027301907734,not harmful,No video description was provided to evaluate for harmful content.
7525124927331044630,not harmful,The description contains hashtags that are commonly used on TikTok for increasing video visibility and does not indicate any harmful content based on the provided framework.
7526946789207903510,not harmful,"The description simply includes a hashtag and a mention of a user, without any indication of harmful content as per the specified framework."
7526246537375190278,not harmful,"The description appears to reference a gender reveal, which is generally a harmless event celebrating the announcement of a baby's gender. There is no indication of harmful content based on the provided description."
7526202804948536598,not harmful,The description is vague and does not contain any harmful content or references to any of the categories listed in the harmful content framework. It simply expresses enjoyment of a trend.
7526943912662027542,not harmful,The description is a light-hearted comment about being in great shape and does not contain any harmful content as per the specified framework.
7526670715777551638,not harmful,"The description appears to be a series of hashtags related to a cultural or local event involving water, with no indication of harmful content as per the specified framework."
7526510817370524950,not harmful,No description was provided to evaluate for harmful content.
7526615233520061718,not harmful,"The description appears to be about a humorous or entertaining encounter with financial authorities, likely related to a motorcycling experience. There is no indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7526536592266235158,not harmful,The description simply tags two users and does not contain any harmful content or themes as outlined in the harmful content framework.
7526973477438459158,not harmful,"The description appears to be about a trekking experience in the Dolomites, specifically at Tre Cime di Lavaredo, and includes hashtags related to the location and activity. There is no indication of harmful content under the specified framework."
7526558288289303831,not harmful,"The description ""Time flies💨"" is vague and does not contain any harmful content related to the specified categories. It is a general statement that does not pose a risk to minors."
7526590499357052182,not harmful,"The description is about meeting up outside a stadium for a concert, which does not fall under any harmful content categories such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7526122349804915990,not harmful,The description consists of emoji that do not inherently suggest any harmful content or themes outlined in the harmful content framework.
7527328321701481750,not harmful,"The description ""Finalmente il momento é arrivato"" (translated to ""Finally the moment has arrived"") is vague and does not contain any harmful content as per the specified framework."
7526278304085675286,not harmful,"The description consists of an airplane emoji, which does not suggest any harmful content or themes."
7526570064632483094,not harmful,The description appears to be promoting a visit to a water park and includes hashtags and mentions of other users. There is no indication of harmful content related to the specified categories.
7526610866733681942,unclear,"I'm sorry, but I need a description of the TikTok video to classify it as 'harmful' or 'not harmful'. Could you please provide the description?"
7526459933156478230,not harmful,"The description appears to be a lighthearted or humorous comment about the wind, with no indication of harmful content such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7526663027203034390,not harmful,"The description mentions an unusual plant growing near a police station, which does not fall under any harmful content categories such as disordered eating, self-harm, mature themes, shocking content, hate speech, abuse, addiction, or misinformation."
7526482541109529878,not harmful,"The description appears to be lighthearted and related to personal aspirations and relationships, with no indication of harmful content as per the specified framework."
7526803072446762248,not harmful,"The description appears to be in Vietnamese and translates to ""then finished #likenicecars."" It does not contain any harmful content related to the specified categories."
7525768267659644182,not harmful,"The description talks about performing a backflip while surfing, which is a common activity in sports and does not fall under any harmful content categories. It does not promote dangerous challenges or activities beyond typical sports actions."
7525851208477576470,not harmful,The description does not contain any harmful content as per the provided framework. It appears to be a lighthearted or humorous statement with no references to any of the harmful categories.
7525478091951492374,not harmful,No description was provided to evaluate for harmful content.
7525124533863451926,not harmful,The description contains hashtags related to pets and does not indicate any harmful content under the specified framework.
7525989188794125590,not harmful,"The description appears to be a farewell message or a travel-related post, with no indication of harmful content as per the specified framework."
7526172149518732566,not harmful,"The description ""last day here"" is vague and does not inherently suggest any harmful content or themes outlined in the harmful content framework. It could refer to a variety of non-harmful situations, such as the last day of a trip or job."
7526139773656829206,not harmful,"The description ""@Rebecca Parziale tutto sbagliato"" does not contain any harmful content as per the specified framework. It appears to be a personal comment or opinion without any indication of harmful themes."
7525094003839307031,not harmful,"The description appears to be a casual or humorous remark about difficulty with reversing a vehicle, which does not fall under any harmful content categories."
7525044513677708546,not harmful,"The description contains hashtags related to a song or trend (#skibidiboppy) and a sports team or location (#forzanapoli), with no indication of harmful content."
7526212535687646486,not harmful,"The description ""mamy & papy 😂🫶🏼"" does not contain any harmful content as per the specified framework. It appears to be a lighthearted or affectionate reference to grandparents, with no indication of mature themes, violence, hate speech, or any other harmful elements."
7526184605410495766,not harmful,"The description contains hashtags related to a reality TV show and personal names, which do not inherently suggest any harmful content under the specified framework."
7525844938588835094,not harmful,No video description was provided to evaluate for harmful content.
7525041874961403138,harmful,"The hashtag ""#comefregareunapersona"" translates to ""how to trick a person,"" which suggests potential misinformation or fraudulent behavior. This could be harmful content, especially if it involves exploiting vulnerable individuals like the homeless."
7526035089956949270,not harmful,"The description appears to be related to a holiday or travel experience, likely promoting a vacation or travel destination. There is no indication of harmful content based on the provided framework."
7526169299715656983,not harmful,"The description ""Costruendo Ricordi 💌"" translates to ""Building Memories 💌"" in English. It does not contain any harmful content as per the provided framework and appears to be a positive or neutral statement."
7526985216129387798,not harmful,"The description does not contain any harmful content as per the provided framework. It appears to be a lighthearted comment about not being included in a group due to not knowing a trend, which is not harmful or inappropriate for minors."
7525892963512143126,not harmful,"The description contains hashtags that appear to relate to driving or starting something new, and there is no indication of harmful content based on the provided framework."
